x,y
143.104,2.24806
143.147,2.24873
143.061,2.24738
143.19,2.24941
143.234,2.25009
143.094,4.49691
143.137,4.49827
143.051,4.49556
143.181,4.49963
143.008,4.4942
63.0883,2.97517
63.002,2.9711
63.0451,2.97313
63.1314,2.9772
63.1746,2.97924
128.654,8.09425
128.698,8.09696
128.611,8.09154
128.741,8.09968
128.568,8.08883
155.773,12.2596
155.816,12.263
128.511,10.1141
155.73,12.2562
155.859,12.2664
128.294,12.1273
128.251,12.1233
128.337,12.1314
128.208,12.1192
128.38,12.1355
128.001,14.1315
128.044,14.1362
128.087,14.141
128.13,14.1457
127.959,14.1268
61.2032,7.73176
61.246,7.73717
61.2889,7.74259
63.5604,8.02955
123.221,15.5664
86.9067,12.3686
86.9494,12.3747
86.8639,12.3626
86.9922,12.3808
87.035,12.3869
61.1861,9.69093
61.2288,9.69769
61.2714,9.70444
61.3141,9.7112
61.3568,9.71796
69.7505,12.1734
69.793,12.1808
69.7079,12.166
69.8356,12.1883
69.6654,12.1586
66.2832,12.6442
66.3256,12.6523
66.368,12.6604
66.2407,12.6361
69.5082,13.2594
57.8274,11.9755
57.7851,11.9667
57.8697,11.9842
57.912,11.993
57.7428,11.958
57.5479,12.8635
57.59,12.8729
57.6322,12.8823
57.5057,12.854
57.6743,12.8917
79.098,18.9898
79.14,18.9998
79.182,19.0099
79.056,18.9797
79.224,19.02
79.3758,20.3802
79.4176,20.391
79.4595,20.4017
79.0829,20.305
79.1247,20.3158
79.1292,21.6473
79.1709,21.6587
79.2125,21.6701
79.0875,21.6359
79.2542,21.6815
63.762,18.5246
63.8034,18.5366
63.8449,18.5487
63.7205,18.5125
63.8864,18.5607
60.5315,18.6219
60.5728,18.6346
60.6141,18.6473
60.4902,18.6092
60.6554,18.66
38.374,12.4685
38.4151,12.4818
38.4562,12.4952
37.0592,12.0413
38.3329,12.4551
34.9855,11.9782
35.0264,11.9922
35.0672,12.0062
34.9446,11.9642
35.1081,12.0202
30.2407,10.8873
30.2813,10.9019
30.2,10.8727
30.322,10.9166
34.1427,12.2921
30.0659,11.361
30.1063,11.3762
30.1467,11.3915
48.7763,18.431
30.0255,11.3457
29.8838,11.8318
29.8436,11.8159
29.9239,11.8477
29.8034,11.8
29.9641,11.8636
29.6942,12.2998
29.7341,12.3163
29.6543,12.2832
29.774,12.3328
29.6144,12.2667
27.3961,11.8553
27.4357,11.8725
27.4754,11.8897
27.515,11.9068
27.3564,11.8382
27.1277,12.2486
27.1671,12.2664
27.0884,12.2309
27.2065,12.2842
27.2459,12.302
25.0948,11.8087
25.1339,11.8271
25.173,11.8455
25.0557,11.7903
25.2121,11.8639
24.8675,12.1824
24.9063,12.2014
24.8287,12.1634
24.9451,12.2205
24.7899,12.1444
24.6346,12.5519
24.673,12.5715
24.7115,12.5912
24.5961,12.5323
24.75,12.6108
34.0172,18.0112
34.0554,18.0314
34.0936,18.0516
34.1317,18.0718
33.979,17.991
33.6922,18.5225
33.7301,18.5433
33.768,18.5641
33.6544,18.5017
33.8058,18.5849
20.5636,11.7293
20.6012,11.7507
20.5261,11.7079
20.6387,11.7721
20.4886,11.6865
20.2281,11.9629
20.2653,11.9849
20.3025,12.0069
20.1909,11.9409
20.3397,12.0289
20.0377,12.2791
20.0746,12.3017
20.1114,12.3243
20.1482,12.3469
20.0009,12.2566
19.8059,12.5692
19.8424,12.5924
19.8789,12.6155
19.7694,12.5461
19.9153,12.6387
19.6782,12.9262
19.606,12.8788
19.6421,12.9025
19.7144,12.9499
19.7505,12.9736
17.5791,11.9467
17.6148,11.971
17.5434,11.9225
17.6506,11.9953
17.6863,12.0196
17.3893,12.2214
17.4246,12.2462
17.46,12.2711
17.3539,12.1966
17.3186,12.1717
16.3564,11.8836
16.3913,11.909
16.4263,11.9344
16.3214,11.8582
16.4612,11.9598
16.0295,12.0353
16.0641,12.0612
16.0986,12.0872
16.1332,12.1131
16.1677,12.1391
15.6337,12.1267
15.6678,12.1532
15.5996,12.1003
15.702,12.1797
15.5654,12.0738
14.8344,11.8846
14.8681,11.9116
14.9018,11.9386
14.9356,11.9656
14.8007,11.8576
14.4462,11.9509
14.4795,11.9785
14.5128,12.006
14.4129,11.9234
14.5461,12.0335
14.1582,12.0922
14.191,12.1203
14.0925,12.0361
14.1253,12.0641
14.2239,12.1483
13.6748,12.056
13.7072,12.0845
13.7396,12.1131
13.772,12.1417
13.8044,12.1703
13.2921,12.0948
13.324,12.1239
13.356,12.153
13.2601,12.0658
13.3879,12.1821
12.5651,11.7994
12.5966,11.829
12.5336,11.7698
12.6281,11.8585
12.5021,11.7403
12.3782,11.9953
12.4092,12.0254
12.3472,11.9652
12.4402,12.0554
12.3162,11.9352
12.0355,12.0355
12.0661,12.0661
12.0966,12.0966
12.1272,12.1272
12.005,12.005
11.6947,12.068
11.7247,12.099
11.6646,12.0369
11.7548,12.13
11.7849,12.161
11.2671,11.9982
11.2967,12.0297
11.3262,12.0612
11.2375,11.9667
11.3558,12.0927
10.9028,11.982
10.9319,12.014
10.961,12.0459
10.8737,11.9501
10.99,12.0779
10.7133,12.1518
10.6847,12.1194
10.7418,12.1842
10.6561,12.087
10.7704,12.2166
10.2124,11.9572
10.2405,11.9901
10.1844,11.9244
10.2686,12.0229
10.1563,11.8915
10.0234,12.1162
9.99583,12.0829
10.0509,12.1495
9.96829,12.0496
10.0784,12.1827
9.61573,12.0024
9.64274,12.0361
9.66975,12.0698
9.69676,12.1035
9.58872,11.9687
9.47898,12.2202
9.4525,12.1861
9.50545,12.2544
9.42602,12.152
9.53193,12.2885
9.02648,12.0221
9.05242,12.0567
9.07835,12.0912
9.00054,11.9876
9.10429,12.1258
8.76035,12.0576
8.78574,12.0925
8.73496,12.0226
8.81114,12.1275
8.83653,12.1624
8.396,11.9463
8.37116,11.911
8.42084,11.9816
8.44568,12.017
8.34632,11.8756
8.20732,12.0767
8.2316,12.1124
8.25588,12.1482
8.18304,12.041
8.28016,12.1839
7.89802,12.0236
7.87431,11.9875
7.92174,12.0597
7.94546,12.0958
7.85059,11.9514
7.68504,12.1097
7.70819,12.1462
7.6619,12.0732
7.73134,12.1826
7.63875,12.0367
7.4036,12.0816
7.38102,12.0447
7.42617,12.1184
7.35845,12.0079
7.44874,12.1552
7.19092,12.1592
7.21291,12.1964
7.2349,12.2336
7.16893,12.122
7.14694,12.0848
6.82782,11.9704
6.84922,12.008
6.80641,11.9329
6.87062,12.0455
6.78501,11.8954
6.65976,12.1141
6.68058,12.1519
6.63895,12.0762
6.70139,12.1898
6.61814,12.0384
6.42823,12.1408
6.44845,12.179
6.46866,12.2172
6.48888,12.2554
6.50909,12.2935
6.15829,12.0863
6.1779,12.1248
6.19752,12.1633
6.13868,12.0478
6.21713,12.2018
5.94868,12.1428
