x,y
143.147,2.24873
143.104,2.24806
143.061,2.24738
143.19,2.24941
143.234,2.25009
143.018,2.2467
143.277,2.25077
142.974,2.24602
143.32,2.25145
142.931,2.24534
143.363,2.25213
142.888,2.24466
107.252,1.68485
107.296,1.68553
107.209,1.68418
107.339,1.68621
107.382,1.68689
143.406,2.25281
107.166,1.6835
107.425,1.68757
142.845,2.24398
107.123,1.68282
107.468,1.68825
107.512,1.68893
107.08,1.68214
143.45,2.25348
142.802,2.24331
107.036,1.68146
107.555,1.6896
143.493,2.25416
139.994,2.1992
139.951,2.19852
142.758,2.24263
140.037,2.19988
139.908,2.19784
140.08,2.20056
139.864,2.19716
107.598,1.69028
106.993,1.68078
140.124,2.20124
139.821,2.19649
140.167,2.20191
142.715,2.24195
107.641,1.69096
151.484,2.3797
151.527,2.38037
139.778,2.19581
106.95,1.6801
143.536,2.25484
151.441,2.37902
143.094,4.49691
143.137,4.49827
143.181,4.49963
143.051,4.49556
143.224,4.50099
143.008,4.4942
142.965,4.49284
143.267,4.50234
142.921,4.49149
143.31,4.5037
107.169,3.36794
142.878,4.49013
107.213,3.36929
143.353,4.50506
103.456,3.25124
103.413,3.24988
103.37,3.24853
107.126,3.36658
107.256,3.37065
103.499,3.2526
107.299,3.37201
103.542,3.25395
103.327,3.24717
107.083,3.36522
143.396,4.50641
107.342,3.37336
114.035,3.58369
142.835,4.48877
114.078,3.58505
103.586,3.25531
107.04,3.36387
113.992,3.58233
114.121,3.58641
103.283,3.24581
142.533,4.47927
142.576,4.48063
142.619,4.48199
114.164,3.58776
142.662,4.48335
107.385,3.37472
113.949,3.58098
102.506,3.22139
102.549,3.22274
102.463,3.22003
142.49,4.47792
103.24,3.24445
106.997,3.36251
103.629,3.25667
102.593,3.2241
114.208,3.58912
63.0883,2.97517
63.0451,2.97313
63.1314,2.9772
63.1746,2.97924
63.002,2.9711
143.092,6.74806
143.049,6.74602
143.135,6.75009
63.2177,2.98127
62.9588,2.96906
143.006,6.74399
143.178,6.75213
142.963,6.74195
62.9157,2.96703
142.574,6.72364
63.2609,2.98331
142.531,6.7216
143.222,6.75416
142.618,6.72567
42.4185,2.0004
42.4616,2.00244
142.488,6.71957
142.92,6.73992
42.3322,1.99633
42.3753,1.99837
142.445,6.71753
42.5048,2.00447
42.289,1.9943
42.9363,2.02482
42.9794,2.02686
143.265,6.7562
62.8725,2.96499
142.661,6.72771
43.0226,2.02889
42.8931,2.02279
142.402,6.7155
103.392,4.87586
102.486,4.83312
42.5479,2.00651
103.349,4.87382
63.304,2.98534
102.443,4.83109
42.85,2.02075
43.0657,2.03093
103.435,4.87789
58.1258,2.74114
103.306,4.87179
102.4,4.82905
42.5911,2.00854
102.529,4.83516
128.698,8.09696
128.654,8.09425
128.611,8.09154
128.741,8.09968
128.784,8.10239
128.568,8.08883
134.432,8.45773
134.346,8.45231
134.389,8.45502
128.525,8.08611
134.302,8.44959
128.827,8.1051
134.475,8.46044
134.259,8.44688
134.518,8.46316
128.87,8.10781
128.482,8.0834
134.216,8.44417
156.075,9.81943
155.989,9.81401
134.561,8.46587
156.032,9.81672
128.913,8.11053
134.173,8.44146
128.439,8.08069
155.946,9.81129
156.119,9.82214
156.162,9.82486
149.22,9.38814
149.306,9.39356
155.903,9.80858
149.263,9.39085
134.604,8.46858
149.177,9.38542
149.35,9.39627
134.13,8.43874
128.956,8.11324
155.86,9.80587
128.396,8.07797
149.393,9.39899
149.134,9.38271
156.205,9.82757
149.436,9.4017
155.817,9.80316
134.647,8.47129
149.091,9.38
134.087,8.43603
128.353,8.07526
156.248,9.83028
57.9893,3.64838
155.773,12.2596
155.816,12.263
155.859,12.2664
128.511,10.1141
155.73,12.2562
155.902,12.2697
128.468,10.1107
128.554,10.1175
155.687,12.2528
128.598,10.1208
155.945,12.2731
128.425,10.1073
128.641,10.1242
155.644,12.2494
128.382,10.1039
149.054,11.7308
155.988,12.2765
128.684,10.1276
148.968,11.724
149.097,11.7342
149.011,11.7274
149.14,11.7376
128.339,10.1005
155.6,12.246
148.925,11.7207
149.184,11.741
128.727,10.131
134.196,10.5615
156.031,12.2799
134.153,10.5581
128.296,10.0971
134.11,10.5547
155.557,12.2426
134.239,10.5649
148.882,11.7173
134.282,10.5683
149.227,11.7444
128.77,10.1344
134.067,10.5513
148.839,11.7139
149.27,11.7478
134.325,10.5716
156.074,12.2833
161.716,12.7273
128.253,10.0937
134.024,10.5479
161.673,12.7239
161.759,12.7307
155.514,12.2392
161.63,12.7205
128.294,12.1273
128.251,12.1233
128.337,12.1314
128.38,12.1355
128.208,12.1192
128.423,12.1395
128.165,12.1151
128.466,12.1436
128.122,12.1111
128.509,12.1477
128.079,12.107
128.552,12.1517
128.036,12.1029
155.561,14.7048
155.604,14.7089
155.518,14.7008
128.595,12.1558
155.647,14.713
155.475,14.6967
148.852,14.0706
148.809,14.0666
148.766,14.0625
123.735,11.6964
123.692,11.6923
148.895,14.0747
123.778,11.7004
155.69,14.717
148.723,14.0584
123.821,11.7045
92.9409,8.7855
148.68,14.0544
127.993,12.0989
155.432,14.6926
92.9839,8.78957
93.0269,8.79363
148.938,14.0788
126.702,11.9769
123.649,11.6883
123.864,11.7086
155.733,14.7211
93.0699,8.7977
126.788,11.985
92.8979,8.78144
126.745,11.981
126.659,11.9728
155.389,14.6886
148.981,14.0828
93.1129,8.80176
126.616,11.9688
128.638,12.1598
128.13,14.1457
128.087,14.141
128.044,14.1362
128.001,14.1315
128.173,14.1505
127.959,14.1268
128.216,14.1552
127.916,14.122
123.493,13.6337
123.536,13.6385
127.873,14.1173
128.259,14.1599
123.579,13.6432
123.45,13.629
123.622,13.648
127.83,14.1125
123.407,13.6243
128.302,14.1647
123.665,13.6527
123.364,13.6195
126.499,13.9656
127.787,14.1078
123.708,13.6574
126.456,13.9608
126.413,13.9561
126.542,13.9703
128.345,14.1694
123.321,13.6148
126.37,13.9514
126.585,13.9751
126.327,13.9466
126.627,13.9798
123.751,13.6622
127.744,14.1031
128.388,14.1742
126.67,13.9845
126.284,13.9419
123.278,13.61
127.701,14.0983
123.793,13.6669
129.504,14.2974
129.547,14.3022
92.7914,10.2443
92.8344,10.249
123.021,13.5816
92.8773,10.2537
122.978,13.5769
129.461,14.2927
129.59,14.3069
92.7485,10.2395
123.264,15.5718
61.246,7.73717
127.764,16.1403
127.721,16.1349
123.306,15.5772
63.5604,8.02955
127.678,16.1295
61.2032,7.73176
123.221,15.5664
61.2889,7.74259
63.6033,8.03496
61.1603,7.72634
123.178,15.561
61.3317,7.748
63.5176,8.02413
127.807,16.1457
63.4747,8.01872
127.635,16.1241
123.349,15.5826
127.849,16.1511
61.3746,7.75341
63.4319,8.0133
123.135,15.5556
63.6461,8.04038
61.1174,7.72093
127.592,16.1187
63.689,8.04579
123.092,15.5501
106.763,13.4873
123.392,15.588
61.4175,7.75883
61.0746,7.71551
127.892,16.1566
106.677,13.4764
106.806,13.4927
127.549,16.1132
106.72,13.4818
63.389,8.00789
106.848,13.4981
63.7319,8.05121
61.4603,7.76424
123.435,15.5935
61.0317,7.7101
106.634,13.471
106.891,13.5035
123.049,15.5447
63.3461,8.00248
127.507,16.1078
61.5032,7.76966
64.8462,8.19198
86.9067,12.3686
86.9494,12.3747
86.8639,12.3626
86.9922,12.3808
87.035,12.3869
86.8211,12.3565
102.304,14.5599
87.0777,12.393
102.261,14.5539
102.346,14.566
102.218,14.5478
86.7784,12.3504
102.389,14.5721
87.1205,12.3991
102.175,14.5417
102.432,14.5782
86.7356,12.3443
102.132,14.5356
61.4591,8.74692
61.5019,8.75301
61.4163,8.74084
61.5446,8.7591
102.475,14.5843
61.5874,8.76518
101.234,14.4078
61.3736,8.73475
61.6302,8.77127
63.3409,9.01475
87.1633,12.4052
63.4692,9.03301
63.3837,9.02084
63.4265,9.02692
102.09,14.5295
101.277,14.4139
101.149,14.3956
101.192,14.4017
61.6729,8.77736
61.3308,8.72866
86.6928,12.3382
63.2982,9.00866
101.32,14.4199
63.512,9.0391
61.7157,8.78345
102.517,14.5904
105.297,14.986
105.34,14.9921
